20,23,0.07,115.00
270,24,26.40,8.89
24603,13164,72.38,53.51
11150,4849,53.11,43.49
3721,1774,16.66,47.68
12918,1333,1568.82,10.32
21504,12938,3145.90,60.17
53161,32612,220.35,61.35
2578,1903,8.07,73.82
39611,22589,164.17,57.03
49379,20546,415.53,41.61
38240,20998,559.22,54.91
4227,2571,12.25,60.82
