10,010010
13,010001
32,000
33,001100000101
34,001100101
39,10001111
44,0010101
45,001100100
46,100110
58,0011001101
65,100011001
67,0011000000
70,001100000100
72,001100001
73,00110001
74,001100000111
77,100011101
78,1000111001
79,0011001100
82,001100000110
83,100011000
84,10001101
85,100011100001
87,0011001111
97,0111
98,0010100
99,010000
100,01100
101,111
102,100111
103,001011
104,1011
105,1101
106,0011001110
107,0100111
108,10000
109,001111
110,00100
111,1010
112,100010
114,01101
115,1100
116,0101
117,001110
118,0100110
119,001101
120,100011100000
121,10010
122,10001110001
